sale_price,created_at,category,gender,hour,day_type
0.0199999995529651,2023-07-22 23:39:21+00:00,Accessories,F,23,Weekend
0.0199999995529651,2024-09-16 11:55:28+00:00,Accessories,F,11,Weekday
0.0199999995529651,2025-10-12 11:33:27+00:00,Accessories,F,11,Weekend
0.0199999995529651,2025-05-24 17:38:11+00:00,Accessories,F,17,Weekend
0.0199999995529651,2023-11-24 18:42:07+00:00,Accessories,F,18,Weekday
0.0199999995529651,2025-10-29 00:41:31+00:00,Accessories,F,0,Weekday
0.0199999995529651,2025-02-07 03:52:23+00:00,Accessories,F,3,Weekday
0.0199999995529651,2024-08-23 11:25:16+00:00,Accessories,F,11,Weekday
0.4900000095367431,2024-09-19 10:27:55+00:00,Accessories,F,10,Weekday
0.4900000095367431,2025-07-30 18:58:08+00:00,Accessories,F,18,Weekday
0.4900000095367431,2024-04-23 19:06:49+00:00,Accessories,F,19,Weekday
0.4900000095367431,2023-06-15 02:27:47+00:00,Accessories,F,2,Weekday
1.5,2021-09-13 10:40:51+00:00,Accessories,M,10,Weekday
1.5,2020-11-27 01:31:03+00:00,Accessories,F,1,Weekday
1.5,2025-12-05 01:39:18+00:00,Accessories,M,1,Weekday
1.5,2026-03-03 21:42:26.846967+00:00,Accessories,M,21,Weekday
1.5,2024-06-08 19:33:53+00:00,Accessories,F,19,Weekend
1.5,2026-01-13 17:41:18+00:00,Accessories,M,17,Weekday
1.5099999904632568,2024-03-03 11:49:41+00:00,Accessories,F,11,Weekend
1.5099999904632568,2022-08-01 07:11:28+00:00,Accessories,F,7,Weekday
1.5099999904632568,2025-07-08 06:00:21+00:00,Accessories,F,6,Weekday
1.5099999904632568,2025-05-24 19:16:00+00:00,Accessories,F,19,Weekend
1.7200000286102295,2025-08-06 08:28:00+00:00,Accessories,F,8,Weekday
1.7200000286102295,2026-02-13 19:51:02+00:00,Accessories,F,19,Weekday
1.7200000286102295,2026-02-11 21:20:09+00:00,Accessories,F,21,Weekday
1.7200000286102295,2023-05-26 04:35:19+00:00,Accessories,F,4,Weekday
1.7200000286102295,2025-09-15 15:37:50+00:00,Accessories,F,15,Weekday
1.7200000286102295,2026-02-21 07:29:26+00:00,Accessories,F,7,Weekend
